aamu	утро
viereen	рядом (с кем) (куда?)
vieressд	рядом (с кем) (где?); возле, подле, у (кого-чего)
viesti	известие, сообщение; эстафета
viettдд	проводить (время); праздновать, отмечать
vihannes	овощь
vihta	банный веник (в Западной Финляндии)
vihtoa	париться веником
viides	пятый
viidestoista	пятнадцатый
viikko	неделя
viikonloppu	конец недели, уикэнд, выходные, суббота-воскресенье
viikonloppusiivous	уборка квартиры в выходные
viikonpдivд	день недели
viime	прошлый, предыдущий
viimeinen	последний
viimeksi	[в] прошлый раз
viineri	венская булочка
viini	вино
viisi	пять
viisikymmentд	пятьдесят
viisitoista	пятнадцать
viisivuotias	пятилетний
viitata	поднимать руку; по/yказывать; ссылаться (на кого-что) и проч.
viitonen	пятерка viitsi (> дlд
viitsi)	> Не надо! Брось! Перестань!
viitsiд	[не]охота делать что-то; (в просьбах) пожалуйста (+ императив), не трудно ли …?
vika	неисправность, повреждение, дефект; проблема; порок; недостаток; вина
vilkaista	*взлянуть, *посмотреть и т. п.
villasekoitehousut	брюки, изготовленные из смеси шерстяных и других, часто синтетических волокон
vilustua	простужаться
vilustuminen	простуда
vilustunut	простуженный
vipata	брать/давать в долг (разг.)
virkailija	служащий
Viro	Эстония
virolainen	эстонец; эстонский
virta	течение; ток, питание; поток
visa (luottokortti)	кредитная карточка ВИСА
vitsi	шутка, анекдот
voi	[сливочное] масло
Voi hyvin.	(при прощании) Будь здоров! Всего хорошего!
Voi.	Ах! Ой!
voida	мочь, можно; чувствовать себя
voittaa	побеждать; выигрывать; преодолевать и проч.
vuodenaika	время года vuokralla (> asua
vuokralla)	> жить в наемной квартире, снимать квартиру
vuokrata	сдавать в аренду/снимать, арендовать (квартиру) ; отдавать/брать напрокат vuonna (> vuosi) в каком-то году (> год) (эссив ед. ч.)
vuoronumero	номер в очереди
Vuosaari (kaupunginosa Helsingissд)	Вуосаари (один из районов Хельсинки)
vuosi	год
-vuotias	-летний
vyц	пояс; ремень
vдhentдд	уменьшать; сокращать; ужерживать, вычетать
vдhдn	мало, немного
vдliaika	промежуток времени; интервал; антракт; перемена; промежуточное время
vдlissд	между (кем-чем) (где?)
vдlittцmдsti	немедленно; непосредственно, непринужденно
vдlttдд	избегать (кого-чего)
vдri	цвет; краска
vдrinen	какого-то цвета
vдsynyt	усталый; утомленный
vдsyttдvд	утомительный; неинтересный, скучный
vдsyttдд	утомлять; чувствовать усталость, *устать
vддrд	кривой; неправильный, ошибочный; не тот; фальшивый, лже-    
 	 
Y	Наверх
yhdeksдn	девять
yhdeksдnkymmentд	девяносто
yhdeksдntoista	девятнадцать
yhdeksдs	девятый
yhdeksдstoista	девятнадцатый
yhdessд	вместе; совместно
yhdestoista	одиннадцатый
yhdistдд	соединять; объединять; соединять, сочетать и пр.
yhtiцkokous	общее собрание акционеров
yhtд	одинаково, так же как и проч.
yhtдkkiд	внезапно, вдруг
yhtддn	совсем; [хоть] сколько-нибудь
yhд	все еще
ykkцnen	единица, номер один
yksi	один
yksin	один
yksinдinen	одинокий
yksitoista	одиннадцать
yksiц	однокомнатная квартира
yleensд	вообще; обычно, как правило
yleislддke	универсально действующий препарат; панацея
yleislддkдri	терапевт, врач общей практики
yli (kadun yli)	через (улицу)
yli	сверх; больше, более, свыше, выше, старше (чего)
ylihuomenna	послезавтра
ylioppilas	окончивший гимназию, получивший среднее образование; студент (в вузе)
ylioppilasjuhla	праздник по поводу окончания гимназии
ylioppilaslakki	[белая] фуражка окончившего гимназию
ylirasittunut	переутомленный
ylдkaappi	верхний шкаф
ylдkerta	верхний этаж
ylцs	вверх
ymmдrtдд	понимать
ympдri	вокруг (кого-чего); круглый [год, сутки и т. п.]
yrittдд	стараться, пытаться; пробовать
ysi	девятка
yskд	кашель
yskдnlддke	лекарство от кашля
ystдvд	друг, подруга; приятель
ystдvдllinen	приветливый, любезный, дружелюбный; дружественный
yц	ночь    
 	 
A	Наверх
дiti	мать, мама
дkkiд	быстро, моментально; вдруг, внезапно; неожиданно
дlд	не (2. лицо ед. ч. императива -- это глагол!)
Дlд ihmeessд!	Ни в коем случае! Неужели?!
Дlд nyt!	Да что ты!
дlд viitsi	Не надо! Брось! Перестань!
ддni	звук; голос; тон; шум; очко, балл
